full_domain,status,expiration_date,registrar_name,registrar_url
altairix.com,taken,2026-07-31T18:28:05Z,Squarespace Domains II LLC,http://domains2.squarespace.com
altairix.net,available,,,
altairix.tech,available,,,
altairix.site,available,,,
altairix.app,available,,,
altairix.io,available,,,
altairix.org,available,,,
altarix.com,taken,,,
altarix.net,taken,,,
altarix.tech,available,,,
altarix.site,available,,,
altarix.app,available,,,
altarix.io,available,,,
altarix.org,available,,,
nexorium.com,unknown,,,
nexorium.net,unknown,,,
nexorium.tech,available,,,
nexorium.site,taken,2026-04-14T23:59:59.0Z,Namecheap,https://rdap.centralnic.com/site/entity/1068
nexorium.app,available,,,
nexorium.io,taken,,,
nexorium.org,taken,,,
